msec,Exper,µVpostEEMD1T5squa,µVpostEEMD2T5squa,µVpostEEMD3T5squa,µVpostEEMD6T5squa,µVpostEEMD1combinexpT5SquareMask,µVpostEEMD2combinexpT5SquareMask,µVpostEEMD7combinexpT5SquareMask,µVpostEEMD1combinexpT5SquarePseudo,µVpostEEMD2combinexpT5SquarePseudo,µVpostEEMD3combinexpT5SquarePseudo,µVpostEEMD4combinexpT5SquarePseudo,µVpostEEMD7combinexpT5SquarePseudo,µVpostEEMD1T5diamo,µVpostEEMD2T5diamo,µVpostEEMD1combinexpT5DiamondMask,µVpostEEMD2combinexpT5DiamondMask,µVpostEEMD1combinexpT5DiamondPseudo,µVpostEEMD2combinexpT5DiamondPseudo,µVpostEEMD3combinexpT5DiamondPseudo,µVpostEEMD7combinexpT5DiamondPseudo,µVpostEEMD1T5Mask,µVpostEEMD2T5Mask,µVpostEEMD3T5Mask,µVpostEEMD1T5Pseudomask,µVpostEEMD2T5Pseudomask,µVpostEEMD4T5Pseudomask,µVpostEEMD5T5Pseudomask,µVpostEEMD6T5Pseudomask
615,2,289.5054163,364.6846382,395.1394843,111.9205256,369.237752,52.11991871,122.8686589,832.5098993,210.0092754,345.5378859,371.9972683,26.57839949,189.9926812,305.3328045,209.8992349,203.8911311,171.9688444,143.9726227,105.1271646,503.449125,460.742634103626,191.009757231031,150.2907985475,811.021470232303,81.7216270920861,110.457781395284,104.966621777604,194.053874656293
620,2,390.97452,387.2002881,382.6606891,111.6621503,402.5277508,54.11802839,123.5425971,724.0599355,188.556406,347.6000136,393.9701577,26.86362551,192.4659345,381.0721511,137.4912131,215.5164413,195.2929067,117.9125783,108.8523712,504.501951,568.192161657263,162.536742926954,143.759769819754,636.989615661436,97.9191074719265,110.60148853817,101.571012849524,194.624553147899
625,2,324.4092425,419.2692373,358.4909155,111.6446635,448.1637405,54.72430131,123.6435221,618.6496544,193.89613,348.4606718,415.9516371,27.17313308,200.6517277,418.5255727,216.2626152,218.4815747,346.0040427,100.0962507,112.3850054,505.7472312,334.088402652265,119.487512969588,148.407009256669,533.119721293423,163.089745407422,109.302496472279,98.0142117806551,195.184266615004
630,2,255.8102727,407.073618,327.8018261,111.3315338,431.5741365,64.5586932,124.4021908,1009.735733,253.061839,350.9084892,437.6667277,27.49560387,203.3179301,400.6437927,306.1745682,219.2083502,296.842708,103.9435786,118.3486492,506.8373072,549.460733334888,86.7529935142095,165.778736798452,402.522844139874,263.741707314286,107.640741332905,94.2419397806883,195.609116201288
635,2,343.0115624,351.9163048,295.7560338,111.3208536,470.5480925,78.27336234,124.471432,1026.614465,352.4140713,353.528322,458.8451303,27.8201443,393.6470496,360.1938505,394.5296536,223.7206192,253.0771985,114.3177595,125.494194,508.1374397,556.328277404405,86.3126370080544,186.458804041684,317.524589937559,323.163054737224,105.926067238031,90.5013335721155,196.011665001671
640,2,340.8075086,308.1939828,267.8255474,110.9479334,388.2459481,84.68683727,125.3133692,610.5619253,408.2186881,353.3884194,479.1889895,28.18440656,301.9631836,315.9858058,296.397951,233.7363644,392.7902077,119.5573785,134.3700541,509.2687958,273.161298068284,96.6584010666102,202.090323705231,268.27349465766,330.624675020704,104.205212092355,86.7862688635351,196.269513415476
645,2,285.6821366,301.3147531,245.4224323,110.9402462,354.6812926,87.11724039,125.3526831,395.7594123,399.139712,348.5959095,498.2789739,28.52002312,143.205646,309.1915398,466.5879923,244.0343999,480.5623779,132.5197808,144.3224061,510.6209568,253.67630057041,92.8912306483297,212.339757178482,633.015590201114,325.140887906845,102.509207380239,83.2553242231273,196.484613424918
650,2,388.0948014,312.7866747,230.8596545,110.5003643,360.2082908,86.45552691,126.276351,282.93368,497.3895133,344.7298596,515.5074714,28.93039938,238.0914331,344.6515888,820.8454297,257.7628266,528.3158475,158.302671,153.4339813,511.7978375,213.682145896085,87.0081896435,214.634425732671,757.673036892015,318.8736000591,100.770247908138,79.7895308815978,196.546059657853
655,2,452.7632352,328.5637769,229.3666425,110.4912642,465.6538346,84.90562351,126.2877463,313.0662422,686.379657,338.5083115,530.8930287,29.27315603,327.6412625,373.9694895,557.0829651,273.7694332,553.5761453,185.406317,161.952879,513.1991769,178.608309598722,93.8150404333079,212.904769378596,688.51983320988,379.925170866958,98.7122403664545,76.5151116994842,196.532940685565
660,2,228.2089822,314.3764736,238.5033369,109.9774883,289.4042487,100.4066528,127.2915358,398.4726624,751.4424221,327.8790483,544.5348351,29.73372714,293.3068395,393.4534358,525.3435405,293.5429199,404.6954626,215.7611706,169.699461,514.4260425,255.493161039574,135.738582085399,212.060448649287,614.062683365621,465.48724843142,96.3784933216484,73.2993752100008,196.355686118874
665,2,135.7256459,262.7039648,253.3553223,109.9623099,277.977646,154.3044809,127.2772763,468.0955308,659.5883744,316.6545041,556.4996464,30.07975584,94.73392251,399.84528,545.9171823,326.9207323,254.0138684,248.7696637,177.53571,515.8736889,323.275165385617,181.232118294644,212.382938862369,390.555653692151,512.743127020782,93.709699932696,70.2544816607163,196.059984626155
670,2,256.9040711,220.0151741,268.9837886,109.3702574,246.028037,239.8431973,128.3595103,528.9789128,583.5007813,306.834245,566.7246058,30.59435151,346.2277894,397.0231205,565.0791975,362.2605412,727.2187226,283.8698206,184.9116215,517.1552174,657.273672957695,215.969256075833,214.713372804634,357.899610401916,544.761034610293,91.9187835513623,67.2591169095255,195.602020227701
675,2,291.8923778,183.0906295,279.27343,109.348228,293.5514632,314.4759876,128.3221192,589.7110902,663.9040596,300.2460941,574.925794,30.9398933,414.0077071,387.2882524,651.1251433,385.7397647,977.0166149,317.0957389,194.1893059,518.6462828,237.966100906487,242.427137719593,220.533192462274,389.046495646443,556.133588086887,92.1418264434464,64.4025010045178,194.993224400828
680,2,253.1681284,166.8346901,281.6888686,108.6785901,333.1487339,331.8820489,129.4810551,703.2143617,764.2965701,296.4968453,579.5171676,31.5120897,261.0943225,357.2956843,442.1157713,406.5878407,748.0704494,348.0200023,204.7863421,519.9873723,719.064307507415,260.425775414577,231.330136263301,481.458903706674,513.441614019144,94.939071443471,61.5906741846595,194.238823266774
685,2,233.7956512,169.2742151,279.3436116,108.6536243,412.7242333,274.7381262,129.4233211,776.2425334,739.2088583,292.3724534,579.3358861,31.85352921,263.8326899,314.5967326,333.9645619,426.3187624,438.9787653,380.7409947,216.9986852,521.518957,1099.74441706666,268.964742772335,244.28806024689,772.793697630499,416.483062699688,100.461177547531,58.8852452423666,193.314306508108
690,2,295.381412,172.3994141,272.7329548,107.911894,564.1399676,199.4854961,130.6571544,869.2164546,632.910945,278.6463533,574.4928288,32.48665286,231.8692271,274.2552911,284.886664,446.4160325,466.8174794,401.6002973,230.787,522.9247285,539.687304776812,262.174731119348,255.988853520853,453.261916700083,311.854509910966,108.740266974881,56.2324002668205,192.3043685242
695,2,328.2051114,150.5813878,264.6432866,107.8901445,640.3019129,186.0054514,130.5821397,666.2841591,567.3970771,254.8399796,564.8432461,32.82054624,218.5153262,227.8256693,274.4449179,463.264619,472.2188437,424.5843193,243.0098729,524.4939264,438.934722253192,249.167095188815,257.457719668923,401.927473923933,233.215007916311,118.725108867662,53.6494065232052,191.118134303154
700,2,475.1991845,109.9539762,255.1888501,107.0839598,676.778265,232.8218288,131.8890053,489.0797224,568.7596888,222.1564173,550.3318453,33.51768289,219.0300021,177.2762451,283.0107049,454.6207404,352.0935084,446.191341,253.0317752,525.9697276,359.592040425629,233.230017747776,244.886868395391,524.741007582368,182.366462686978,129.214616853417,51.1321958243491,189.904842917386
705,2,644.1406063,114.1369593,245.2152364,107.072266,903.0349919,273.8877118,131.8000563,533.4437813,576.1912149,183.1607253,530.4609109,33.84077953,236.2021722,143.4143411,420.6750676,431.6793253,312.5244326,449.4601708,258.7365641,527.5736306,449.487859441062,227.960071599902,228.002045875372,456.572921815561,155.747517171814,139.639528060406,48.6450282560205,188.494877152007
710,2,531.6491023,155.4530932,237.2649302,106.2107941,809.8049171,289.6539051,133.1780309,497.5787684,533.6827111,149.9783323,505.7225725,34.60478698,274.4643688,117.8008003,489.0181147,425.6189421,339.4844281,452.9487445,262.5512579,529.1250396,588.704690689541,247.107512391238,210.998747062681,504.175750732231,141.079359598327,149.806569724961,46.2441935560056,187.113551455313
