msec,Exper,T5Diamond,T5DiamondMask,T5DiamondPseudo,T5Mask,T5Pseudomask,T5Square,T5SquareMask,T5SquarePseudomask,OzDiamond,OzDiamondMask,OzDiamondPseudo,OzMask,OzPseudomask,OzSquare,OzSquareMask,OzSquarePseudo,T5Mask_T5SquareMask,T5Pseudomask_T5SquarePseudomask,T5Mask_T5DiamondMask,T5Pseudomask_T5DiamondPseudo,OzMask_OzSquareMask,OzPseudomask_OzSquarePseudo,OzMask_OzDiamondMask,OzPseudomask_OzDiamondPseudo
400,1,.723376,.643605,.715683,1.20119,1.2373,1.14817,.866129,.837546,.276502,1.09496,.93541,.476724,.218652,.176076,1.01163,1.47493,.335061,.399754,.557585,.521617,-.534906,-1.256278,-.618236,-.716758
405,1,.664613,.603815,.681326,1.11981,1.19737,1.12732,.819449,.811608,.316892,1.12729,.969941,.524808,.251866,.244375,1.03694,1.52864,.300361,.385762,.515995,.516044,-.512132,-1.276774,-.602482,-.718075
410,1,.592535,.540742,.622145,1.00543,1.12182,1.08042,.751176,.75674,.333469,1.13356,.990735,.547205,.25573,.281719,1.04321,1.5516,.254254,.36508,.464688,.499675,-.496005,-1.29587,-.586355,-.735005
415,1,.508709,.457217,.538476,.863803,1.01439,1.00803,.66176,.672913,.326557,1.11311,.994901,.544078,.233171,.286511,1.0288,1.54013,.202043,.341477,.406586,.475914,-.484722,-1.306959,-.569032,-.76173
420,1,.415772,.357898,.432385,.702793,.881877,.912811,.553181,.562176,.298637,1.06768,.980418,.517816,.189414,.260025,.993387,1.49267,.149612,.319701,.344895,.449492,-.475571,-1.303256,-.549864,-.791004
425,1,.317573,.24898,.307766,.53187,.733781,.799499,.42904,.428714,.2542,1.00144,.946442,.472959,.13151,.206385,.938037,1.40998,.10283,.305067,.28289,.426015,-.465078,-1.27847,-.528481,-.814932
430,1,.219168,.137803,.170287,.361486,.581657,.674738,.294512,.278745,.199418,.920747,.893514,.415906,.0677212,.132295,.865217,1.29527,.066974,.302912,.223683,.41137,-.449311,-1.2275488,-.504841,-.8257928
435,1,.126617,.03238,.0271692,.20233,.438167,.546664,.156156,.12025,.141647,.833627,.82364,.354386,.006857,.0465013,.778657,1.15395,.046174,.317917,.16995,.4109978,-.424271,-1.147093,-.479241,-.816783
440,1,.0465767,-.0591236,-.113209,.0645329,.315883,.424299,.0215654,-.0374837,.0887957,.7491,.740196,.296745,-.0424834,-.0409774,.683091,.993382,.0429675,.3533667,.1236565,.429092,-.386346,-1.0358654,-.452355,-.7826794
445,1,-.0142772,-.128948,-.241844,-.0430989,.225994,.316841,-.101104,-.184442,.0486242,.6763,.647712,.251138,-.0726079,-.119766,.583892,.822346,.0580051,.410436,.0858491,.467838,-.332754,-.8949539,-.425162,-.7203199
450,1,-.0499107,-.170286,-.349748,-.113746,.177051,.232907,-.203697,-.310564,.0280422,.623582,.551517,.224738,-.0774502,-.180109,.486652,.650484,.089951,.487615,.05654,.526799,-.261914,-.7279342,-.398844,-.6289672
455,1,-.0555968,-.177782,-.428628,-.143096,.174013,.17982,-.278668,-.406472,.0324651,.597645,.457302,.22304,-.0531321,-.213822,.396724,.487665,.135572,.580485,.034686,.602641,-.173684,-.5407971,-.374605,-.5104341
460,1,-.0284875,-.147953,-.471566,-.129651,.217602,.162982,-.319694,-.464189,.0652862,.602804,.370627,.249327,.00158284,-.215123,.318789,.3433,.190043,.681791,.018302,.689168,-.069462,-.34171716,-.353477,-.36904416
465,1,.0320104,-.0794747,-.473599,-.074804,.304297,.185427,-.322205,-.477779,.127536,.640494,.296465,.304378,.0851107,-.181215,.256495,.225676,.247401,.782076,.00467070000000001,.777896,.047883,-.1405653,-.336116,-.2113543
470,1,.124109,.0266943,-.432174,.0173382,.426794,.24755,-.283807,-.443856,.21775,.709067,.238803,.386402,.193123,-.112596,.212213,.141314,.3011452,.87065,-.0093561,.858968,.174189,.051809,-.322665,-.04568
475,1,.243766,.167339,-.347414,.140339,.574954,.347037,-.204537,-.361912,.332056,.803906,.200346,.491196,.318884,-.0130324,.18692,.0944198,.344876,.936866,-.027,.922368,.304276,.2244642,-.31271,.118538
480,1,.385056,.33721,-.222169,.286017,.737042,.479017,-.086934,-.234436,.464494,.917866,.182362,.612554,.453821,.110806,.180241,.0864854,.372951,.971478,-.051193,.959211,.432313,.3673356,-.305312,.271459
485,1,.540751,.52937,-.0618492,.445153,.901108,.63641,.064112,-.0667977,.607526,1.042,.184682,.742842,.588318,.250014,.190638,.116128,.381041,.9679057,-.084217,.9629572,.552204,.47219,-.299158,.403636
490,1,.702966,.735649,.12595,.608252,1.05628,.810459,.241684,.133083,.752682,1.16645,.205823,.873705,.712597,.394331,.215712,.179167,.366568,.923197,-.127397,.93033,.657993,.53343,-.292745,.506774
495,1,.863834,.947154,.33199,.766289,1.19373,.991408,.437334,.355263,.891281,1.28148,.243251,.996839,.817636,.533169,.252582,.269017,.328955,.838467,-.180865,.86174,.744257,.548619,-.284641,.574385
500,1,1.01611,1.15478,.546051,.911373,1.30731,1.16928,.641704,.588458,1.01518,1.37846,.293704,1.10476,.896072,.656655,.298298,.377349,.269669,.718852,-.243407,.761259,.806462,.518723,-.2737,.602368
505,1,1.15362,1.3497,.757652,1.03725,1.39377,1.33467,.845195,.820823,1.11742,1.4507,.353557,1.19145,.942908,.756584,.350211,.494982,.192055,.572947,-.31245,.636118,.841239,.447926,-.25925,.589351
510,1,1.27158,1.52381,.956754,1.13964,1.45254,1.4795,1.03863,1.04075,1.19281,1.49409,.419159,1.25288,.956042,.827168,.406259,.612849,.10101,.41179,-.38417,.495786,.846621,.343193,-.24121,.536883
515,1,1.36666,1.67008,1.13439,1.21631,1.4853,1.59761,1.21385,1.23764,1.23824,1.50742,.487131,1.28727,.936494,.865513,.465126,.722933,.00245999999999991,.24766,-.45377,.35091,.822144,.213561,-.22015,.449363
520,1,1.43705,1.78287,1.28318,1.267,1.49541,1.68514,1.36421,1.40258,1.25289,1.49234,.554557,1.29507,.888224,.871767,.526254,.819008,-.09721,.09283,-.51587,.21223,.768816,.0692159999999998,-.19727,.333667
