msec,Experiment,Exper,HzpostEEMD1Ozsqua,HzpostEEMD2Ozsqua,HzpostEEMD3Ozsqua,HzpostEEMD4Ozsqua,HzpostEEMD5Ozsqua,HzpostEEMD6Ozsqua,HzpostEEMD7Ozsqua,HzpostEEMD1combinexpOzSquareMask,HzpostEEMD2combinexpOzSquareMask,HzpostEEMD3combinexpOzSquareMask,HzpostEEMD4combinexpOzSquareMask,HzpostEEMD5combinexpOzSquareMask,HzpostEEMD6combinexpOzSquareMask,HzpostEEMD7combinexpOzSquareMask,HzpostEEMD1combinexpOzSquarePseudo,HzpostEEMD2combinexpOzSquarePseudo,HzpostEEMD3combinexpOzSquarePseudo,HzpostEEMD4combinexpOzSquarePseudo,HzpostEEMD5combinexpOzSquarePseudo,HzpostEEMD6combinexpOzSquarePseudo,HzpostEEMD7combinexpOzSquarePseudo,HzpostEEMD1Ozdiamo,HzpostEEMD2Ozdiamo,HzpostEEMD3Ozdiamo,HzpostEEMD4Ozdiamo,HzpostEEMD5Ozdiamo,HzpostEEMD6Ozdiamo,HzpostEEMD7Ozdiamo,HzpostEEMD1combinexpOzDiamondMask,HzpostEEMD2combinexpOzDiamondMask,HzpostEEMD3combinexpOzDiamondMask,HzpostEEMD4combinexpOzDiamondMask,HzpostEEMD5combinexpOzDiamondMask,HzpostEEMD6combinexpOzDiamondMask,HzpostEEMD7combinexpOzDiamondMask,HzpostEEMD1combinexpOzDiamondPseudo,HzpostEEMD2combinexpOzDiamondPseudo,HzpostEEMD3combinexpOzDiamondPseudo,HzpostEEMD4combinexpOzDiamondPseudo,HzpostEEMD5combinexpOzDiamondPseudo,HzpostEEMD6combinexpOzDiamondPseudo,HzpostEEMD7combinexpOzDiamondPseudo,HzpostEEMD1OzMask,HzpostEEMD2OzMask,HzpostEEMD3OzMask,HzpostEEMD4OzMask,HzpostEEMD5OzMask,HzpostEEMD6OzMask,HzpostEEMD7OzMask,HzpostEEMD1OzPseudomask,HzpostEEMD2OzPseudomask,HzpostEEMD3OzPseudomask,HzpostEEMD4OzPseudomask,HzpostEEMD5OzPseudomask,HzpostEEMD6OzPseudomask,HzpostEEMD7OzPseudomask
15,Experiment II,2,.497353015,.06342209,.230810632,.000208269,.00078169,.001562589,.028112266,.007462421,.183517625,.037149964,.008640882,.008374301,.009963979,.014361847,.496182779,.066086919,.004306361,.003755199,.007827414,.004474338,.016018488,.112680003,.020454709,.000992175,.005769734,6.28E-005,.005993882,.033304781,.00202,.004533,.060929,.002489,.014797,.007655,.003974,2.28E-005,.011252,.002693,.005562,.000869,.013699,.012468,.472272577472044,.0974532833999894,.0202155828454316,.00188652359193016,.00597073998104504,.00279137165674747,.0040510422519653,.485025368154476,.0416622908340292,.024099184030978,.0131216450814007,.00856322768815464,.000519552223124374,.00897147110489311
20,Experiment II,2,.49633297,.02377603,.004773128,.000302336,.000806259,.002626742,.019857336,.487995395,.416384614,.037415039,.000177971,.020343507,.005966804,.003079123,.490220115,.236382065,.000749933,.035342066,.008409445,.00139349,.012083973,.271913784,.028395341,.004275154,.00855897,.000419567,.003355135,.003425589,.006573,.016301,.069154,.006808,.020934,.004267,.000232,.000147,.004885,.004188,.002578,.000428,.009687,.004796,.00312290433833212,.139703012482257,.0293861179997378,.00420588521167316,.00616737847908476,.00277381666952392,.00341007722686448,.480211504428358,.104144754952463,.0282445255121689,.0121325536045558,.00837061779105752,.000478949648788996,.00890115278269624
25,Experiment II,2,.003123721,.103974103,.005403385,.00033147,.00072936,.001303363,.020011586,.001109185,.177433131,.037040207,.005083324,.029536694,.006433008,.003873737,.486501716,.269389872,.01234629,.031982723,.008676934,.00225965,.012034981,.441829929,.003662488,.0104148,.009698411,.000989154,.004228076,.00607276,.004242,.006695,.064961,.011921,.020358,.004851,.000404,.002098,.009819,.009783,.002759,7.74E-005,.009885,.005522,.493218498179408,.171133893440393,.0304399136866201,.00658846606710353,.00535456438247042,.0025301288996244,.00332275028157191,.0255972455805436,.156893908121379,.0358879359281368,.0119833327732264,.010459187156517,.000364996734804556,.00854883486768461
30,Experiment II,2,.005882947,.126456365,.004880061,.000344068,.000664811,.001571323,.012274323,.46952083,.099303038,.038458615,.011620022,.058330758,.004493612,5.46E-005,.472135874,.135662985,.026632805,.119753213,.009232702,.001045891,.009294039,.443624772,.028225867,.020593632,.012673173,.001840444,.003105625,.000590393,.454962,.038428,.073643,.014962,.023567,.00332,.001166,.000332,.021863,.015947,.011383,.000733,.007577,.00205,.00280740329740004,.111081588730948,.0335909681872564,.008968958902476,.00496208965119602,.00264826508681657,.00306893868173926,.455195269934767,.191194330773914,.0385372939466564,.0114591643360911,.0102305162162146,.000236130385408541,.00824467637372285
35,Experiment II,2,.002710752,.158180365,.006359839,.000246906,.000504924,.000810041,.013171928,.469422131,.216069046,.040817192,.01417605,.056933152,.004840723,.000537381,.006412387,.125900543,.017824324,.071637927,.009430972,.001578172,.009544308,.485606641,.070514772,.023559004,.013491362,.002685973,.003616462,.000614962,.000448,.01585,.049858,.016951,.02151,.003715,.00078,.018878,.025285,.019773,.021231,.0013,.007803,.002589,.00168761606639256,.132770262059749,.0340994325677952,.0105839768057738,.00319798680285628,.00240155673244477,.00298348634274526,.00450658533694774,.198272996103081,.0651181454760169,.011390040331846,.0111150242053738,7.66044846240484E-005,.00796405513175736
40,Experiment II,2,.47754082,.158413857,.006811157,6.47E-005,.000330957,.000899238,.007675359,.001777901,.189072288,.04389643,.018639418,.05240753,.003698209,.001248529,.448449305,.077239882,.006480158,.008371054,.009943985,.00094983,.007488576,.006935872,.241401037,.025756637,.016728178,.004008071,.00300823,.001958099,.431569,.032289,.049897,.018087,.020499,.002851,.001572,.016417,.028359,.025171,.033922,.002095,.006268,.000672,.45329920189873,.119211187283345,.0364159771640295,.0113158178944681,.0014445117586413,.00258036678487007,.00289480212872471,.491163328272097,.186228085493179,.175989511210248,.0110774233307117,.0108457463192492,.000124175359553101,.00761879691719438
45,Experiment II,2,.018539448,.119072319,.007393496,.000262725,8.77E-005,.000415494,.008600513,.490802951,.141197016,.046455336,.020112244,.037366633,.00396342,.000917455,.028231647,.159110125,.02420867,.022030992,.01010579,.001308286,.007857516,.487332968,.043836371,.017509217,.017323519,.005141904,.003330842,.001254333,.022267,.066716,.035195,.019052,.01865,.003135,.001307,.019052,.02265,.029975,.033648,.002652,.006487,.001083,.0522863900813757,.182400226514944,.0376008472802362,.0105896498501058,.00264685004900903,.00232610240433293,.00280758101515967,.48923691556453,.180528211776707,.206332256498214,.0110624520802492,.0112473805232573,.000314952831944122,.00740350474735797
50,Experiment II,2,.011609123,.086379783,.006706542,.000830857,.00020239,.000452603,.004918732,.461452469,.181900091,.04884148,.023491306,.017737726,.003210993,.001913081,.452289251,.147385425,.032964771,.009508632,.010575872,.000928452,.006249376,.488837224,.055998259,.007943537,.02091423,.006996996,.00294887,.002548063,.009607,.095134,.034777,.019598,.015627,.002582,.001774,.01798,.038582,.038258,.027019,.003532,.005384,.000112,.0322325190353859,.242653993161841,.0399233922157807,.00873415217485404,.00948158689564057,.00254328612231991,.0028162274376592,.488584070246088,.175207281944608,.131444299355602,.0108696838072611,.0109780822188303,.00057529946963085,.00707270285404568
55,Experiment II,2,.016655659,.029368547,.005434298,.001552624,.000500554,.000124957,.005701661,.426365201,.200031739,.053739435,.024652911,.01350019,.003419057,.001667387,.032462203,.175012555,.030875916,.002722797,.010722683,.001184388,.006649855,.004444885,.031679932,.000318178,.021434758,.008294598,.003165204,.002075484,.027341,.147699,.031014,.020224,.014688,.002795,.001577,.08891,.102213,.046129,.014268,.004037,.005584,.000211,.377251376918108,.187142515245719,.0417763264664068,.00598642824742919,.0209827968468731,.00227801273723845,.00272484165403132,.494660879440901,.161644768950276,.0706129677935364,.010898279928638,.0111490857997533,.000784668088676635,.00690813408180157
60,Experiment II,2,.437598337,.013273707,.001928898,.002668137,.000887615,.0001455,.003203968,.08060742,.192266174,.060971042,.027477357,.004901508,.002885668,.002286868,.010174121,.213135003,.027920687,.013360477,.011148476,.000930002,.005345941,.483988997,.063372145,.007517078,.025265174,.010451619,.002901008,.002831425,.446204,.219885,.031935,.020619,.011702,.002412,.001882,.025217,.042689,.06076,.003066,.004978,.00475,.000598,.0226451022349757,.14183468053103,.0439271409935001,.00280504578730919,.0494981086981752,.00252614425468281,.00280585419650329,.00755894750135598,.146164693322601,.0501130611568825,.0108044025020399,.010889753300415,.00108865532322221,.00660759770268813
