msec,Experiment,Exper,µVpostEEMD1T5squa,µVpostEEMD2T5squa,µVpostEEMD3T5squa,µVpostEEMD4T5squa,µVpostEEMD5T5squa,µVpostEEMD6T5squa,µVpostEEMD7T5squa,µVpostEEMD1combinexpT5SquareMask,µVpostEEMD2combinexpT5SquareMask,µVpostEEMD3combinexpT5SquareMask,µVpostEEMD4combinexpT5SquareMask,µVpostEEMD5combinexpT5SquareMask,µVpostEEMD6combinexpT5SquareMask,µVpostEEMD7combinexpT5SquareMask,µVpostEEMD1combinexpT5SquarePseudo,µVpostEEMD2combinexpT5SquarePseudo,µVpostEEMD3combinexpT5SquarePseudo,µVpostEEMD4combinexpT5SquarePseudo,µVpostEEMD5combinexpT5SquarePseudo,µVpostEEMD6combinexpT5SquarePseudo,µVpostEEMD7combinexpT5SquarePseudo,µVpostEEMD1T5diamo,µVpostEEMD2T5diamo,µVpostEEMD3T5diamo,µVpostEEMD4T5diamo,µVpostEEMD5T5diamo,µVpostEEMD6T5diamo,µVpostEEMD7T5diamo,µVpostEEMD1combinexpT5DiamondMask,µVpostEEMD2combinexpT5DiamondMask,µVpostEEMD3combinexpT5DiamondMask,µVpostEEMD4combinexpT5DiamondMask,µVpostEEMD5combinexpT5DiamondMask,µVpostEEMD6combinexpT5DiamondMask,µVpostEEMD7combinexpT5DiamondMask,µVpostEEMD1combinexpT5DiamondPseudo,µVpostEEMD2combinexpT5DiamondPseudo,µVpostEEMD3combinexpT5DiamondPseudo,µVpostEEMD4combinexpT5DiamondPseudo,µVpostEEMD5combinexpT5DiamondPseudo,µVpostEEMD6combinexpT5DiamondPseudo,µVpostEEMD7combinexpT5DiamondPseudo,µVpostEEMD1T5Mask,µVpostEEMD2T5Mask,µVpostEEMD3T5Mask,µVpostEEMD4T5Mask,µVpostEEMD5T5Mask,µVpostEEMD6T5Mask,µVpostEEMD7T5Mask,µVpostEEMD1T5Pseudomask,µVpostEEMD2T5Pseudomask,µVpostEEMD3T5Pseudomask,µVpostEEMD4T5Pseudomask,µVpostEEMD5T5Pseudomask,µVpostEEMD6T5Pseudomask,µVpostEEMD7T5Pseudomask
55,Experiment I,1,24.44042739,34.78056176,10.78154311,38.95465404,111.0426249,85.4411908,247.8164158,26.79771948,24.55842345,43.11516237,14.43795294,21.52293486,86.76208859,85.65308246,12.17759022,16.39529035,7.359226208,36.33140147,4.977544946,17.78109452,63.63230134,42.93123896,17.45301285,11.51912375,13.30713844,18.71665253,24.35641663,111.2202738,50.30680201,10.35278098,8.551678412,37.52898802,45.21791088,30.2480841,161.4080978,29.60796913,18.18761723,.391174742,1.7640575,125.7287186,65.40123577,230.1106216,25.6183956296948,9.44468551990313,8.02964768509867,8.22164959186616,21.5816829269845,114.870198019137,174.343425293757,25.2354932960158,21.8051130294817,20.500870351663,13.2231367965038,35.1511767339246,139.107772062484,88.6743450168716
60,Experiment I,1,19.69490018,36.48543072,8.274721525,36.80179798,107.1223312,83.42838491,266.6354509,31.34084391,29.02780463,46.45987975,13.49604145,20.50308189,87.34677634,85.65308246,29.65853768,12.77522248,10.97638844,36.13407245,4.683498765,16.61855868,75.68405692,41.56416636,7.126091341,15.68804206,13.26977191,17.33680797,25.2008697,124.6958763,27.70155858,13.08370471,10.57875558,39.79160477,39.4806362,27.90931008,175.9124085,103.2624031,23.65286656,.418725602,2.158903699,122.605934,63.16878949,247.1474402,66.1265745935095,10.6989684466296,7.16709924800321,9.08739441635474,21.4943208698205,114.666366261829,180.142980438819,26.7769588706298,33.5257959089698,22.7651337947357,12.6711553454593,36.3058752222011,142.626072451847,88.1647951090093
65,Experiment I,1,22.99928463,34.1139778,8.767703967,29.30542235,99.56437229,80.19607335,225.3285412,28.70631968,27.48436888,46.84964797,10.55892155,16.97571036,87.59014258,85.65308246,7.989930945,19.31083725,18.31434255,35.79252575,4.860669796,12.2649728,55.99996369,40.8485946,7.395204499,16.61553705,13.86974184,16.16679236,24.05496232,96.58922196,46.26953313,8.26346819,17.68011986,35.47549717,32.47213986,24.23331053,136.6630566,60.60314812,17.34562468,.93514601,4.002745131,116.5769157,56.68118471,203.4515383,38.1703592539721,8.23889671505111,7.08163738634366,8.19576234891053,19.7002332967801,115.126495004475,170.013972317364,42.195611783831,37.833577384993,23.1048269523513,12.554992651045,37.3833114412155,129.468917927177,83.7830618483772
70,Experiment I,1,33.17251832,32.33268537,5.207199581,27.97898688,96.83822539,78.42931378,242.3873211,66.21657685,21.11896245,45.98340882,10.57089394,16.36725552,87.08520895,85.65308246,20.21016189,28.22917173,25.60235691,34.76509935,4.918640978,11.38159666,66.76742404,51.78211418,16.13352048,16.28917464,13.7541734,15.1491327,24.930972,108.8015102,79.94481619,6.955855765,23.15817071,37.23048125,28.12665225,23.29680272,149.8711382,119.8654525,11.06018843,1.330904125,3.558331077,113.9196252,54.97968705,218.1505202,46.6872671324456,7.64114451032696,8.72723441728074,9.15285786889898,19.5226804041901,114.937632736131,175.240276848015,43.0723989684034,47.3035477858727,24.6716552572236,12.9870201919378,38.495668811019,132.310632572968,83.2529554500984
75,Experiment I,1,52.50654877,32.11545634,7.054357664,22.57966871,90.98899153,75.60563058,207.5700323,38.49157601,21.53165056,39.6203814,9.149414836,13.66008601,88.50380328,85.65308246,21.95044961,27.19830881,32.60909614,33.68507659,5.432435784,7.770474849,50.14140984,66.27405259,15.83565004,12.24489035,14.26731509,14.75053539,24.07771315,85.1434225,75.10795414,16.61931222,24.53483692,32.61755969,23.16096474,21.85535851,117.1760574,43.74703219,20.14135113,1.676847268,5.279035193,108.8884351,49.59338118,181.493155,51.9460481319063,15.4042168062253,10.7757241840349,8.4702541513464,17.9331990191172,115.567590508925,166.757211990413,29.8687111088603,56.6647587693791,24.2544897062299,14.2246596613196,39.5397360453461,121.69851775634,79.6731001885957
80,Experiment I,1,68.09162096,29.59562313,7.453296147,22.97084185,89.2965887,74.0211985,223.1547283,55.85152257,28.21638624,30.24938439,10.32698701,13.40179858,87.37562354,85.65308246,38.96843863,19.22921273,39.15026544,32.12371185,5.713408042,7.14608813,59.8197659,89.61583909,6.407338193,7.861624355,14.20603211,14.08614572,24.91079959,96.31295039,12.03039883,27.543271,23.4652924,33.84826123,21.30272421,22.35239126,129.2896299,76.91468293,33.25311361,1.897133104,4.461718244,106.5881876,48.31787132,194.173835,35.7357769974615,20.4405561937149,13.3269864065739,9.30209469834892,17.6509352013672,115.402169657086,171.522178088002,19.0526912765992,61.0897459881478,24.8572324866471,15.3942124160403,40.6152280349991,123.981325822533,79.125328044778
85,Experiment I,1,88.99422463,27.40670368,11.42110924,20.03704744,84.87267772,71.5092331,193.2040882,36.891994,28.68348639,17.92358049,10.43234739,11.40999036,89.3864503,85.65308246,46.30187708,15.02677511,42.75544906,30.58498179,6.346213945,4.132535276,45.51766715,74.98426967,3.620470476,6.863288346,14.81846506,14.29362385,24.2048106,76.00407704,67.18513015,38.17192186,19.75119407,29.29372369,19.72499452,22.90124531,101.7765845,21.86548357,43.04737526,2.214465623,5.502244813,102.3515519,43.80193106,162.9427115,35.7522344276105,22.0545648133446,15.7177144669508,8.50086478676813,16.2479279040173,116.16947498459,164.206345705911,12.638631559659,70.7673261789616,24.5046178051783,17.3648136000875,41.6289832371551,115.284143875751,76.1504968157037
90,Experiment I,1,67.52917327,29.21369925,12.42278754,21.81138819,84.06876006,70.06300841,207.5249159,30.46006081,20.3387644,11.30566906,12.51278364,11.43310324,87.90625282,85.65308246,67.61281123,18.27472824,44.86354999,28.67729851,6.748141222,3.857420538,54.23911033,44.13197558,10.55054475,10.04010293,14.9495294,13.94802859,24.96254472,86.28966117,81.6875977,49.14364501,15.54322427,30.22744963,21.24485602,24.41410999,112.9238944,68.79506097,51.12208715,2.818807703,4.404550709,100.335945,42.87354663,173.8319252,15.7443315305739,19.1919511391339,16.967256050452,8.91675799543122,15.8671538790632,116.030356416802,168.591516098071,10.0152653566029,69.7184561916367,24.8163238664803,18.9129977874293,42.6704163628111,117.097923073366,75.5875275151587
95,Experiment I,1,27.02223857,29.86163451,15.2543341,20.28810301,80.83156232,67.79534387,181.3494545,31.36419233,18.89415582,20.42502579,13.26921268,10.06078541,90.20579764,85.65308246,69.52917443,14.88166466,44.1628059,26.72290961,7.396309667,1.609660674,41.81910251,2.639598281,14.05684834,15.15501328,15.71291002,14.5560878,24.3234587,68.58819164,40.97751831,54.11777061,10.10897782,26.41717004,22.99749711,26.19633327,89.7356174,24.70758331,52.29450331,3.68302375,4.804525977,96.75199819,39.06145732,146.9638345,12.2211617395716,16.2705196854138,17.5799126135808,7.80269508265626,14.6728570693286,116.910529013512,162.135078961639,9.04770254649245,68.2135642105998,24.9960885695995,21.176373227252,43.6566489879042,109.888885369602,73.0837302150681
100,Experiment I,1,10.73186251,27.23215222,14.09604575,22.36155252,80.7658766,66.45530194,194.5651759,36.43934301,24.39633887,30.63849988,15.30457584,10.27060109,88.53543209,85.65308246,112.2065338,9.400236934,42.71664996,24.44234169,7.866718645,2.188847408,49.66709981,54.75486347,10.63334208,19.73627347,16.0335672,14.46489723,24.99442281,78.10780725,26.47871421,52.04687821,5.436427364,26.92461872,26.53574636,28.20446536,99.98863131,58.11329173,51.2986047,5.024524123,3.473054994,94.95272861,38.41361143,156.2247297,38.820938821527,20.2747213870022,17.0316431745647,7.74126286450999,14.2149514739904,116.796417377022,166.201308265248,10.9915235910898,60.3948967128025,25.0463147243183,22.8987107110704,44.6671311177325,111.304614746633,72.5077187530396
