msec,Experiment,Exper,HzpostEEMD1T5squa,HzpostEEMD2T5squa,HzpostEEMD3T5squa,HzpostEEMD4T5squa,HzpostEEMD5T5squa,HzpostEEMD6T5squa,HzpostEEMD7T5squa,HzpostEEMD1combinexpT5SquareMask,HzpostEEMD2combinexpT5SquareMask,HzpostEEMD3combinexpT5SquareMask,HzpostEEMD4combinexpT5SquareMask,HzpostEEMD5combinexpT5SquareMask,HzpostEEMD6combinexpT5SquareMask,HzpostEEMD7combinexpT5SquareMask,HzpostEEMD1combinexpT5SquarePseudo,HzpostEEMD2combinexpT5SquarePseudo,HzpostEEMD3combinexpT5SquarePseudo,HzpostEEMD4combinexpT5SquarePseudo,HzpostEEMD5combinexpT5SquarePseudo,HzpostEEMD6combinexpT5SquarePseudo,HzpostEEMD7combinexpT5SquarePseudo,HzpostEEMD1T5diamo,HzpostEEMD2T5diamo,HzpostEEMD3T5diamo,HzpostEEMD4T5diamo,HzpostEEMD5T5diamo,HzpostEEMD6T5diamo,HzpostEEMD7T5diamo,HzpostEEMD1combinexpT5DiamondMask,HzpostEEMD2combinexpT5DiamondMask,HzpostEEMD3combinexpT5DiamondMask,HzpostEEMD4combinexpT5DiamondMask,HzpostEEMD5combinexpT5DiamondMask,HzpostEEMD6combinexpT5DiamondMask,HzpostEEMD7combinexpT5DiamondMask,HzpostEEMD1combinexpT5DiamondPseudo,HzpostEEMD2combinexpT5DiamondPseudo,HzpostEEMD3combinexpT5DiamondPseudo,HzpostEEMD4combinexpT5DiamondPseudo,HzpostEEMD5combinexpT5DiamondPseudo,HzpostEEMD6combinexpT5DiamondPseudo,HzpostEEMD7combinexpT5DiamondPseudo,HzpostEEMD1T5Mask,HzpostEEMD2T5Mask,HzpostEEMD3T5Mask,HzpostEEMD4T5Mask,HzpostEEMD5T5Mask,HzpostEEMD6T5Mask,HzpostEEMD7T5Mask,HzpostEEMD1T5Pseudomask,HzpostEEMD2T5Pseudomask,HzpostEEMD3T5Pseudomask,HzpostEEMD4T5Pseudomask,HzpostEEMD5T5Pseudomask,HzpostEEMD6T5Pseudomask,HzpostEEMD7T5Pseudomask
795,Experiment II,2,.477989283,.149950216,.086986777,.042034177,.009581055,.007286935,4.49E-017,.093733762,.079151017,.050262832,.011445807,.009687757,.008241659,.002912702,.182200431,.146403852,.05557571,.041542657,.014988248,.007527811,.004683738,.079252796,.124688393,.084697006,.034037789,.010642166,.006689081,3.53E-017,.42133307,.156218523,.06354864,.038192424,.005972204,.007216982,.006179684,.341716152,.228605611,.127531908,.020602178,.004812333,.005211817,.004071247,.297271886280636,.211979669047136,.0954922482300575,.0137344004443914,.0122547976911891,.00805742627866373,.00515220261336185,.357924625517643,.0814543135759675,.0511259944567486,.0353792802650048,.00462628065766744,.00645794265207095,.00559721064408245
800,Experiment II,2,.468767746,.158386269,.087663545,.043032688,.009726987,.007299729,1.29E-018,.071817519,.09598462,.05249756,.015331297,.00975875,.008236584,.002968764,.149772656,.152652076,.047107073,.043987575,.015153452,.007754014,.004719566,.195890476,.131287964,.076147949,.03279518,.010927356,.006712827,0,.368714614,.147093693,.063167472,.038259522,.006454961,.007414102,.006276277,.396208908,.26160062,.134906271,.022899976,.00477367,.005253994,.004079482,.329296829354314,.291289798714525,.0843735278966734,.0133754555922094,.0121744235455246,.00802445132403415,.00513273015247693,.364421824974261,.0312925301863864,.055605342180112,.0360630538951813,.0197652454480133,.00631997645695585,.00557397635111387
805,Experiment II,2,.411782383,.166057315,.087038317,.043900095,.009900219,.007446375,6.29E-017,.362928547,.127044473,.056533176,.017345112,.009828554,.008289983,.002920455,.266904963,.156723474,.036820618,.045141141,.015347644,.007993592,.004641774,.254535543,.163913299,.070133221,.031499624,.011144332,.006835375,3.53E-017,.37481956,.166553189,.062554327,.038205064,.007019901,.007628196,.006423715,.419934204,.279134482,.143548196,.025846198,.004738373,.005319528,.004095366,.335827299010539,.295532456654044,.0734944775337302,.0130638310423458,.0121226535810696,.00799463076537509,.00518772522561134,.217391338373446,.00703642086243639,.0623648055362291,.0370510038544899,.035593613319668,.00614284018159039,.00561208969359903
810,Experiment II,2,.266565128,.177492283,.086174431,.044761044,.010052241,.007451838,8.9E-019,.397325267,.19139852,.062319762,.017380508,.009882607,.00827228,.002978397,.364080448,.163006086,.030998889,.044946201,.015541757,.008262646,.004685157,.27884578,.226868678,.067003202,.030573417,.01139138,.006852947,0,.435804816,.202440966,.062596725,.038222832,.007650265,.007851631,.006527281,.437739222,.275059663,.143083717,.029653394,.004684647,.005364476,.004104821,.323277181979494,.226753241967991,.0581258332810892,.0128229402308608,.0120589178428858,.00796719500292424,.00517265545828122,.107022876399262,.0434491108334981,.0704883166756315,.0384400438925314,.0414255331004241,.00595194262183892,.00559130116489856
815,Experiment II,2,.179546753,.1863367,.085204271,.045657192,.010234138,.007593919,1.69E-017,.445755287,.274852959,.068684202,.014883285,.009948737,.008334404,.0029299,.413097353,.176442273,.033329547,.043729278,.015710891,.00853989,.004605462,.319682305,.2771966,.065561069,.029782554,.011571696,.00697356,0,.450949112,.237078989,.064524879,.038367666,.008281751,.008096047,.006692018,.406793817,.242262453,.133539292,.033936411,.00463212,.00543938,.004120949,.395331715463596,.225623687723172,.0421160273788766,.0125808246999791,.0120214656315132,.0079413464686225,.00522963152018096,.207143859538535,.0829241031696659,.0775007936932618,.0402663733390196,.0287315302539932,.00570962433463568,.00562414441072733
820,Experiment II,2,.242831878,.184635631,.086264349,.046264084,.01039239,.007592017,4.31E-017,.445883607,.268228929,.07369617,.010630859,.010005265,.008308378,.002989691,.000593539,.182487528,.04037256,.041862461,.01584407,.008826152,.004656169,.40113749,.299192567,.065884601,.029111718,.011781069,.006984965,3.53E-017,.02700763,.254544076,.070175021,.038657864,.008935483,.008350259,.006802558,.327627996,.194608183,.124458421,.037644308,.004556056,.005487423,.004131714,.407275881630059,.254681757310316,.0300222646513668,.0123829419547521,.0119724746364105,.00791938339777971,.00521935696546173,.348083753300006,.115919206698988,.084249154835923,.0424719190688088,.0112903455038186,.00544527286239109,.00560645546895645
825,Experiment II,2,.341637997,.179201232,.086996889,.046116324,.010581999,.00772663,6.46E-018,.440831404,.216256903,.078153351,.004994693,.010084961,.008383287,.0029411,.412420498,.169743845,.047212529,.039890166,.01595644,.009093686,.004574905,.443106775,.325664719,.069214868,.028340159,.011929916,.007102184,3.53E-017,.479062604,.258345653,.078772498,.039137414,.00955193,.008624464,.006985791,.394707073,.170997193,.12031036,.0411677,.004477442,.005572833,.004148083,.28138919861963,.217932258282447,.0222678383440046,.0121690623483939,.01194631597269,.00789737622429641,.005278139347227,.333617113087319,.130489233360321,.09188188168161,.0444864200197804,.00202488509057709,.00511423219895318,.00563375968275314
830,Experiment II,2,.419774939,.174961324,.083363058,.045501862,.010743805,.007717619,3.98E-017,.445454841,.141925628,.08308514,.001264687,.010161854,.008350453,.003002718,.04960975,.147978734,.051575063,.038093946,.016081346,.009361793,.004632744,.436679316,.315875604,.073856547,.027608424,.012103011,.00710755,3.53E-017,.467471971,.262035819,.085378452,.039996084,.010179984,.008903748,.007102991,.405733338,.16701013,.116020654,.044069584,.004383064,.005624679,.004160253,.189949944068839,.146638148224237,.0185204456879895,.011963573226739,.0119075379948004,.00788092553520229,.00527311085616465,.238687458881315,.126714861890611,.0985198775854258,.0462339814619447,.0110647783798335,.00474848153617413,.0056198266978424
835,Experiment II,2,.440782598,.159788071,.075293346,.044897712,.010936211,.007841801,2.96E-017,.456152304,.178794447,.085251313,.006573739,.010269202,.00844058,.002954128,.46516108,.141979838,.056435158,.03691782,.016213205,.009612024,.004550194,.457433948,.281049779,.083879761,.026898021,.01222165,.007219796,7.07E-017,.004211567,.26177225,.089134119,.041212429,.010763624,.009202689,.007305515,.32344941,.156436428,.109307018,.046030564,.004331708,.005722158,.004176866,.226379092437321,.118682736087333,.0227552151327335,.0116969778087797,.0118837083984087,.00786274106189991,.00533351343991291,.229727507462832,.136875362206019,.10397261459444,.0478284610302947,.0165779675450948,.00430893130934786,.00564139212444277
840,Experiment II,2,.442180889,.101270758,.067233301,.04443177,.011097716,.007826267,4.25E-017,.009426611,.134152123,.084714037,.010844817,.010375197,.008401497,.003017558,.439732787,.164609489,.062477115,.036554458,.016380328,.009869766,.004615018,.449989468,.276591633,.10296613,.026455236,.01235528,.007219419,0,.460826983,.246848187,.094431199,.042569041,.011363108,.009503684,.007428631,.351977408,.163241913,.103694981,.04766164,.004320661,.005778918,.004190547,.311874148520777,.121413419474114,.0341781892190128,.0114303969099577,.0118448251489446,.00785194856902601,.00533424864103723,.311933347216779,.141069603395281,.106208371228024,.0494686268183514,.0212228502574758,.00387262200770261,.00563187064636159
