msec,Exper,µVpostEEMD1Ozsqua,µVpostEEMD2Ozsqua,µVpostEEMD3Ozsqua,µVpostEEMD1combinexpOzSquareMask,µVpostEEMD2combinexpOzSquareMask,µVpostEEMD3combinexpOzSquareMask,µVpostEEMD4combinexpOzSquareMask,µVpostEEMD1combinexpOzSquarePseudo,µVpostEEMD2combinexpOzSquarePseudo,µVpostEEMD3combinexpOzSquarePseudo,µVpostEEMD6combinexpOzSquarePseudo,µVpostEEMD1Ozdiamo,µVpostEEMD2Ozdiamo,µVpostEEMD7Ozdiamo,µVpostEEMD1combinexpOzDiamondMask,µVpostEEMD2combinexpOzDiamondMask,µVpostEEMD3combinexpOzDiamondMask,µVpostEEMD4combinexpOzDiamondMask,µVpostEEMD5combinexpOzDiamondMask,µVpostEEMD1combinexpOzDiamondPseudo,µVpostEEMD2combinexpOzDiamondPseudo,µVpostEEMD3combinexpOzDiamondPseudo,µVpostEEMD1OzMask,µVpostEEMD2OzMask,µVpostEEMD3OzMask,µVpostEEMD6OzMask,µVpostEEMD1OzPseudomask,µVpostEEMD2OzPseudomask,µVpostEEMD3OzPseudomask,µVpostEEMD4OzPseudomask,µVpostEEMD6OzPseudomask,µVpostEEMD7OzPseudomask
660,2,550.4091782,332.6669226,213.1217785,540.7820462,404.5029885,169.1067594,139.0181262,722.593413,547.4297138,284.3406338,352.4063188,844.4894395,687.027212,570.0057824,730.2659,437.5055,394.3487,176.0484,74.97708,966.2638,744.1562,162.4212,597.80516408252,241.245706957637,242.827756000549,75.2674242132395,269.219501714977,340.882018158148,433.562796272343,123.358041692077,139.982401088133,24.0709129694624
665,2,479.8134248,342.7167239,197.1879073,697.5269666,375.4558059,177.3813117,134.6318054,993.7235152,564.6411725,320.5147258,352.051656,744.9230101,649.8713018,570.5103197,476.2265,491.7626,403.0139,170.3057,76.23701,811.5928,745.6027,156.3386,696.838991054526,224.432552919044,231.533701910641,75.6132246797541,297.289160215364,363.835990927342,427.910280944123,128.56323585679,141.405088880082,24.6454235574201
670,2,594.2240173,359.3005557,179.9869709,562.2417709,320.3654035,184.9462105,130.2765261,1088.406945,574.441257,348.18541,352.1327254,566.9505642,622.5875688,568.6618827,309.966,512.5912,394.9109,161.7718,78.05993,861.8183,736.2692,145.161,594.544983405473,188.468730049997,227.005107652545,75.9912692942244,136.102562732642,385.933814958164,417.396405533279,133.359915456229,142.737221597573,25.24049950502
675,2,522.3551121,383.2807012,162.8706812,453.1309165,255.4773937,193.6458411,126.6530704,1074.47714,619.1323951,365.2853267,351.9326285,818.3000863,606.6076621,569.1665149,214.4641,482.7152,367.9364,150.8201,79.85117,742.7651,737.029,134.1134,669.71786454601,130.199081645732,240.638179574331,76.3088765260087,475.688701020032,444.374705585602,405.554628117694,138.100159576645,144.052606202074,26.189052962352
680,2,439.3799742,390.3424684,145.9023056,375.3388881,275.4190494,202.9583109,124.2757938,759.7974777,691.4732369,376.4932946,352.1864122,846.823186,565.2970361,567.0323273,346.2147,473.9402,334.9517,137.9211,82.30403,745.1475,749.5246,126.4756,746.712457549986,100.55052135301,265.038688283695,76.5425800400601,668.137705981392,515.811687176791,393.853594611382,142.670928059558,145.279748765841,27.0456771509916
685,2,391.650646,374.4569543,129.9622605,311.9713076,309.4501785,211.7196957,122.3042597,723.2719438,758.5974225,382.236381,352.1506645,530.1761294,497.0931522,567.5345688,434.2089,518.3782,300.6202,122.5607,84.83779,840.5384,749.9466,124.9495,839.515861397545,118.928065854307,294.547619854921,76.8359823593232,683.995244203073,518.559749979606,381.802438699652,147.16269139137,146.524633281487,28.2968938345279
690,2,406.559968,354.7884208,116.4879352,382.1877562,288.5036271,215.5342057,121.225042,700.0226712,820.1096563,389.9068728,352.5928716,392.6603599,429.910127,565.129032,651.8453,540.7873,260.4517,105.3683,88.00918,1342.531,710.0031,131.3488,1201.38779915712,151.379705833437,328.649035282194,76.8986935605013,917.62603788862,470.078372304351,367.104427505117,151.304695272696,147.677179173392,29.3456231750512
695,2,534.5542598,355.4643316,107.1898472,258.4462368,247.5591387,213.7980888,120.6646867,538.334704,880.870552,398.6175997,352.7609688,329.116914,420.8298662,565.6472123,1102.587,493.8308,223.2572,90.9928,91.3901,872.3339,653.6394,145.269,982.838487302512,195.23552149124,354.345314839649,77.17432882534,961.748688639655,445.277626308131,349.253883263352,155.172296488833,148.879542033601,30.8252185915223
700,2,324.2430506,376.998051,102.3447738,22.33146028,204.9882171,207.5358819,121.2631926,540.3840742,918.612315,403.503791,353.4260955,285.5267799,440.4340306,562.9989317,1071.993,438.5903,203.5683,82.88806,95.35503,435.9203,618.3932,165.7447,556.687001911603,254.588415160204,358.015631313285,77.0390970191605,618.881038327685,460.925283435769,330.66576338042,158.469246996224,149.980212646977,32.0026617281787
705,2,345.6010551,403.6806921,101.5238703,277.5352686,155.4702176,196.8158315,122.5866596,485.1166006,919.0540701,405.6668015,353.8434746,274.502691,424.4681979,563.5578622,754.8247,431.2121,196.3773,82.36198,99.89816,832.1898,588.3256,189.2876,447.42296877104,312.493661212924,352.203768973143,77.3056717463676,535.387069050217,467.374578880699,310.409630444992,161.36684680891,151.161423116584,33.6453500607123
